time_ms,max_power_w,power_w,current_a,voltage_v,total_consumption_j,pwm_input_us,pwm_output_us,pwm_control_us,status
3001690,194,0.3531,0.03,11.77,3168,993,1000,1365,0
3001742,194,0.3531,0.03,11.77,3168,989,1000,1365,0
3001795,194,0.3531,0.03,11.77,3168,989,1000,1365,0
3001848,194,0.3531,0.03,11.77,3168,989,1000,1365,0
3001901,194,0.3531,0.03,11.77,3168,989,1000,1365,0
3001953,194,0.3531,0.03,11.77,3168,989,1000,1365,0
3002006,194,0.3531,0.03,11.77,3168,989,1000,1365,0
3002058,194,0.3531,0.03,11.77,3168,989,1000,1365,0
3002111,194,0.3531,0.03,11.77,3168,989,1000,1365,0
3002164,194,0.3531,0.03,11.77,3168,989,1000,1365,0
3002217,194,0.3531,0.03,11.77,3168,989,1000,1365,0
3002270,194,0.3531,0.03,11.77,3168,989,1000,1365,0
3002322,194,0.3531,0.03,11.77,3168,993,1000,1365,0
3002375,194,0.3531,0.03,11.77,3168,1022,1022,1363,0
3002428,194,0.3531,0.03,11.77,3168,1042,1042,1360,0
3002481,194,0.3531,0.03,11.77,3168,1059,1059,1366,0
3002533,194,0.3531,0.03,11.77,3168,1093,1093,1376,0
3002585,194,0.3531,0.03,11.77,3168,1098,1098,1392,0
3002638,194,0.3531,0.03,11.77,3168,1110,1110,1412,0
3002691,194,0.3531,0.03,11.77,3168,1116,1116,1430,0
3002744,194,0.3531,0.03,11.77,3168,1127,1127,1445,0
3002796,194,20.124,1.72,11.7,3169,1143,1143,1343,0
3002849,194,13.8178,1.18,11.71,3169,1158,1158,1361,0
3002902,194,14.9888,1.28,11.71,3169,1185,1185,1389,0
3002955,194,33.435497,2.87,11.65,3170,1208,1208,1351,0
3003007,194,32.4756,2.79,11.64,3170,1225,1225,1327,0
3003060,194,37.3002,3.21,11.62,3171,1239,1239,1319,0
3003113,194,40.600002,3.5,11.6,3172,1250,1250,1325,0
3003166,194,41.296,3.56,11.6,3173,1250,1250,1341,0
3003219,194,41.4922,3.58,11.59,3174,1252,1252,1361,0
3003271,194,41.4922,3.58,11.59,3174,1259,1259,1384,0
3003324,194,42.7302,3.69,11.58,3175,1264,1264,1392,0
3003377,194,43.0776,3.72,11.58,3176,1279,1279,1399,0
3003430,194,48.898804,4.23,11.56,3177,1284,1284,1386,0
3003483,194,51.744,4.48,11.55,3178,1285,1285,1377,0
3003535,194,50.0115,4.33,11.55,3179,1285,1285,1389,0
3003588,194,47.7428,4.13,11.56,3180,1289,1289,1407,0
3003641,194,52.668,4.56,11.55,3181,1304,1304,1404,0
3003694,194,55.344,4.8,11.53,3182,1317,1317,1389,0
3003747,194,59.7369,5.19,11.51,3183,1327,1327,1368,0
3003799,194,62.100002,5.4,11.5,3185,1333,1333,1357,0
3003852,194,65.0916,5.67,11.48,3186,1348,1348,1349,0
3003905,194,70.1352,6.12,11.46,3187,1352,1337,1337,1
3003958,194,66.06721,5.76,11.47,3189,1367,1351,1351,1
3004011,194,69.906,6.1,11.46,3190,1382,1363,1363,1
3004063,194,72.2495,6.31,11.45,3191,1402,1357,1357,1
3004116,194,74.424995,6.5,11.45,3193,1430,1366,1366,1
3004169,194,73.3304,6.41,11.44,3194,1452,1370,1370,1
3004221,194,73.8378,6.46,11.43,3196,1490,1369,1369,1
3004274,194,71.3856,6.24,11.44,3197,1510,1383,1383,1
3004327,194,79.8258,6.99,11.42,3199,1525,1376,1376,1
3004380,194,75.3237,6.59,11.43,3200,1548,1377,1377,1
3004433,194,76.970795,6.74,11.42,3202,1573,1387,1387,1
3004485,194,77.1316,6.76,11.41,3203,1593,1379,1379,1
3004538,194,75.1919,6.59,11.41,3205,1616,1390,1390,1
3004591,194,75.467995,6.62,11.4,3206,1633,1388,1388,1
3004644,194,77.702095,6.81,11.41,3208,1660,1389,1389,1
3004697,194,77.406,6.79,11.4,3209,1681,1392,1392,1
3004750,194,80.48399,7.06,11.4,3211,1699,1389,1389,1
3004802,194,79.343994,6.96,11.4,3213,1721,1392,1392,1
3004855,194,78.09,6.85,11.4,3214,1751,1395,1395,1
3004908,194,78.7049,6.91,11.39,3216,1776,1394,1394,1
3004961,194,79.73,7,11.39,3217,1831,1397,1397,1
3005014,194,78.9327,6.93,11.39,3219,1874,1398,1398,1
3005067,194,78.7496,6.92,11.38,3220,1905,1398,1398,1
3005119,194,80.342804,7.06,11.38,3222,1946,1397,1397,1
3005172,194,79.66,7,11.38,3224,1968,1400,1400,1
3005225,194,79.546196,6.99,11.38,3225,1990,1403,1403,1
3005278,194,83.9106,7.38,11.37,3227,2012,1391,1391,1
3005330,194,77.7937,6.83,11.39,3228,2012,1401,1401,1
3005383,194,80.9544,7.12,11.37,3230,2012,1402,1402,1
3005436,194,80.613304,7.09,11.37,3232,2012,1397,1397,1
3005489,194,75.4494,6.63,11.38,3233,2012,1403,1403,1
3005542,194,80.8407,7.11,11.37,3235,2012,1395,1395,1
3005594,194,77.2023,6.79,11.37,3236,2012,1402,1402,1
3005647,194,79.52,7,11.36,3238,2012,1402,1402,1
3005700,194,79.0656,6.96,11.36,3239,2012,1393,1393,1
3005753,194,76.520096,6.73,11.37,3241,2012,1407,1407,1
3005806,194,82.0605,7.23,11.35,3243,2012,1399,1399,1
3005858,194,80.7696,7.11,11.36,3244,2012,1394,1394,1
3005911,194,80.3152,7.07,11.36,3246,2012,1403,1403,1
3005964,194,78.951996,6.95,11.36,3247,2012,1394,1394,1
3006017,194,78.9078,6.94,11.37,3249,2012,1409,1409,1
3006070,194,81.152504,7.15,11.35,3251,2012,1393,1393,1
3006123,194,78.1568,6.88,11.36,3252,2012,1401,1401,1
3006175,194,78.315,6.9,11.35,3254,2012,1404,1404,1
3006228,194,79.56351,7.01,11.35,3255,2002,1394,1394,1
3006281,194,80.0175,7.05,11.35,3257,1926,1409,1409,1
3006334,194,80.173805,7.07,11.34,3259,1799,1392,1392,1
3006387,194,78.088005,6.88,11.35,3260,1746,1407,1407,1
3006440,194,81.7614,7.21,11.34,3262,1740,1400,1400,1
3006493,194,78.4285,6.91,11.35,3263,1779,1399,1399,1
3006546,194,81.7614,7.21,11.34,3265,1782,1405,1405,1
3006598,194,79.2666,6.99,11.34,3267,1715,1397,1397,1
3006651,194,76.499,6.74,11.35,3268,1651,1408,1408,1
3006704,194,80.400604,7.09,11.34,3270,1618,1398,1398,1
3006757,194,79.72021,7.03,11.34,3271,1710,1405,1405,1
3006809,194,80.9676,7.14,11.34,3273,1760,1402,1402,1
3006862,194,75.818,6.68,11.35,3275,1738,1402,1402,1
3006915,194,78.812996,6.95,11.34,3276,1595,1406,1406,1
3006968,194,78.9701,6.97,11.33,3278,1631,1394,1394,1
